33013	9732	43049	9089	9188
34166	9024	39905	9219	9413
34929	10344	47734	10618	9927
29568	9301	36555	9081	8402
33104	10564	44451	10263	9306
29051	8525	36573	8556	8243
31026	10139	40758	9578	10433
41491	10407	45713	10880	11044
30650	10565	42934	10652	10668
33599	8886	38075	9869	8805
29476	8576	41537	8486	9076
29927	9141	39325	10089	9121
35983	9672	37242	10372	9973
29455	8568	35463	9292	8483
37402	11263	43331	11794	11169
34833	11208	39309	11226	11226
38675	10072	43646	10177	9895
44227	10307	43606	11355	11355
40187	10999	49302	11313	11313
37046	10371	38835	9984	9915
39882	10633	42392	11320	11320
35768	10547	37402	11147	10681
30406	8705	39252	8609	9177
31131	8849	39392	9154	8490
33965	9594	42268	9447	9447
39746	10547	44612	11064	11046
35395	10451	44590	10047	10073
32145	9008	44575	8963	8251
39650	10928	47174	11081	10934
28090	8913	41081	9264	8884
31153	9019	40072	9112	8950
30387	9373	36102	9360	9068
39140	11254	42815	11040	11098
28723	8492	32334	8559	8736
29648	9762	35788	10232	9957
31906	9043	42610	9216	8810
39787	10943	42468	11088	11337
32302	9086	38524	9063	9336
40734	12580	49406	12051	12051
33367	11998	44620	11316	11677
33189	11130	39342	11072	10579
28766	9955	39271	10144	9586
30358	9595	43197	9380	8280
30234	9630	34779	10059	9199
37683	10188	42822	10284	10418
34428	10031	41256	10069	8703
30307	8960	43765	9313	8290
29942	8834	35664	8980	8802
32480	10504	39115	10125	9464
35638	9864	37326	11133	10863
36631	11103	40827	10971	11139
33191	9306	46345	10494	9357
30957	8801	35143	9705	8490
30331	9017	37006	9030	9332
30147	8565	33177	8879	9083
30416	10652	41743	10358	10512
31993	10697	37761	11287	10008
34793	10570	44071	10445	10531
37710	10637	43612	11272	10755
29220	8503	35795	7941	7946
35381	10509	44718	10762	10762
34464	10098	41971	10512	10512
