17	11
17	11
17	11
17	11
19	10
19	10
19	10
19	10
20	9
20	9
20	9
20	9
17	10
17	10
17	10
17	10
16	12
16	12
16	12
16	12
18	12
18	12
18	12
18	12
20	10
20	10
20	10
20	10
22	10
22	10
22	10
22	10
16	11
16	11
16	11
16	11
17	10
17	10
17	10
17	10
20	10
20	10
20	10
20	10
20	12
20	12
20	12
20	12
15	11
15	11
15	11
15	11
23	14
23	14
23	14
23	14
19	11
19	11
19	11
19	11
20	10
20	10
20	10
20	10
21	14
21	14
21	14
21	14
18	14
18	14
18	14
18	14
17	10
17	10
17	10
17	10
18	8
18	8
18	8
18	8
22	14
22	14
22	14
22	14
15	11
15	11
15	11
15	11
21	11
21	11
21	11
21	11
20	15
20	15
20	15
20	15
20	11
20	11
20	11
20	11
21	13
21	13
21	13
21	13
16	13
16	13
16	13
16	13
18	10
18	10
18	10
18	10
19	9
19	9
19	9
19	9
20	12
20	12
20	12
20	12
23	11
23	11
23	11
23	11
22	10
22	10
22	10
22	10
17	11
17	11
17	11
17	11
18	9
18	9
18	9
18	9
21	11
21	11
21	11
21	11
15	8
15	8
15	8
15	8
21	12
21	12
21	12
21	12
20	11
20	11
20	11
20	11
20	8
20	8
20	8
20	8
19	9
19	9
19	9
19	9
20	9
20	9
20	9
20	9
23	11
23	11
23	11
23	11
13	6
13	6
13	6
13	6
22	11
22	11
22	11
22	11
27	14
27	14
27	14
27	14
16	10
16	10
16	10
16	10
12	8
12	8
12	8
12	8
20	14
20	14
20	14
20	14
23	16
23	16
23	16
23	16
19	9
19	9
19	9
19	9
