108,0
132,1
79,0
121,1
111,2
133,3
125,4
89,2
131,3
134,4
95,5
135,6
126,7
128,5
129,0
123,1
101,2
90,3
85,4
76,5
103,0
117,1
130,2
92,3
122,4
66,1
104,5
120,6
119,0
78,0
93,1
118,2
124,3
127,2
97,3
80,0
59,1
114,2
102,3
115,0
110,1
81,2
100,3
51,0
99,1
84,1
70,2
109,0
106,3
107,4
63,3
53,2
91,1
82,4
57,5
86,0
75,3
62,1
71,4
42,2
105,0
87,5
58,4
45,5
49,6
12,1
77,0
61,2
69,3
56,6
83,4
73,3
43,5
88,0
29,1
68,2
9,4
44,3
37,5
46,6
35,1
74,0
65,2
36,4
33,5
26,3
72,6
7,1
34,0
67,1
41,2
39,3
55,0
54,2
60,4
16,4
25,0
52,1
40,2
47,1
6,3
24,2
8,3
50,0
38,1
22,0
31,1
18,2
27,0
23,2
11,1
30,3
15,3
21,0
17,1
28,2
20,3
3,4
19,0
10,1
13,2
4,3
5,0
0,0
