108,0
132,0
79,0
111,0
121,0
125,0
133,0
89,0
95,0
126,1
131,1
134,1
135,1
128,1
129,0
103,0
117,1
130,0
101,0
76,1
90,0
123,0
122,0
85,0
92,0
78,0
118,0
124,0
127,1
110,0
115,1
100,1
109,0
106,1
66,0
93,1
104,1
120,1
63,1
75,0
81,0
97,0
107,0
119,1
59,0
80,1
114,1
102,0
51,0
87,0
105,1
84,1
88,0
73,0
62,1
71,1
53,0
68,0
86,0
70,0
99,0
29,0
83,0
34,0
72,0
12,0
77,0
61,0
69,1
56,1
42,0
44,1
82,0
91,1
57,1
9,1
26,1
65,0
74,0
37,1
43,0
67,0
35,0
25,0
7,0
58,0
45,0
49,1
36,1
39,0
41,1
16,1
55,0
54,1
60,1
8,0
6,0
47,1
24,1
40,0
52,1
31,0
18,0
33,0
46,1
50,1
22,0
27,0
23,0
38,0
20,0
21,0
28,0
3,1
11,0
30,0
15,0
17,0
10,0
19,0
4,0
13,0
5,0
0,0
