108,0
132,1
79,0
111,1
121,2
125,3
133,4
89,2
95,3
126,4
131,5
134,6
135,7
128,5
129,0
123,1
90,2
103,3
117,4
130,5
76,6
101,0
85,1
92,2
122,3
66,1
104,4
120,5
78,0
118,2
124,3
93,4
127,5
97,0
119,1
59,0
80,1
114,2
102,2
110,3
115,4
81,3
100,4
109,0
106,1
107,2
84,1
51,3
70,0
99,2
63,1
75,3
53,4
87,0
105,4
86,2
62,1
71,5
12,3
42,0
82,1
91,2
57,4
73,3
88,4
29,5
68,5
83,0
77,1
61,2
69,6
56,6
43,3
58,0
45,1
49,2
37,4
44,5
72,3
34,4
7,5
65,0
74,1
36,6
35,2
9,6
26,7
33,0
46,3
16,1
67,2
25,3
39,0
41,2
55,1
54,4
60,5
8,0
47,1
6,2
40,3
52,4
24,4
50,0
38,1
22,0
31,1
18,2
27,0
23,1
11,2
30,3
15,3
17,0
20,1
21,2
28,3
3,4
10,2
19,0
4,1
13,2
5,0
0,0
